SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
20200501,Great Eau,1980,53.28,0,533200,377900,9.46,12.98,56,5,1,2,215.9,2.2,18.9,41,41,1,18,428040.8859,458659.8837,NA,NA
20201001,Great Eau,1980,53.27,0.05,537000,376800,9.44,12.93,34,6,1,6,215.9,2,19.4,22,75,0,3,427005.9625,461261.6279,NA,NA
20201101,Great Eau,1980,53.28,0.1,540300,377700,9.48,12.81,15,0.7,2,10,215.9,5.8,58.3,5,45,0,50,428040.8859,463863.3721,NA,NA
20300001,Great Eau,1980,53.36,0.18,545200,386700,9.56,12.4,2,0.7,3,21,217.7,7.1,84.7,0,0,0,100,436320.2726,468026.1628,NA,NA
20300003,Glen,1980,52.75,-0.49,501900,317700,9.74,13.19,37,1.9,1,17,196.7,4.3,19.3,5,43,28,24,373189.9489,433162.7907,NA,NA
20300601,Glen,1980,52.69,-0.42,506800,311200,9.76,13.23,16,1.6,1,30,219.6,6.3,10.4,17,69,10,4,366980.4089,436805.2326,NA,NA
20301101,Glen,1980,52.76,-0.29,515600,319000,9.67,13.14,3,0.5,3,41,207,12,299.9,0,0,0,100,374224.8722,443569.7674,NA,NA
20301401,Welland,1980,52.47,-0.97,469700,286400,9.92,13.46,90,2.5,1,6,219,1.4,11.1,3,84,9,3,344212.0954,408186.0465,NA,NA
20301601,Welland,1980,52.64,-0.51,500700,306300,9.84,13.3,25,0.9,5,53,207,12.9,29.7,13,32,16,39,361805.7922,432122.093,NA,NA
20301603,Welland,1980,52.68,-0.18,522800,310600,9.68,13.2,3,0.4,6,80,208.7,33.7,200,9,11,4,76,365945.4855,449293.6047,NA,NA
20301801,Wensum,1980,52.78,0.8,588500,324000,9.77,13.32,48,3,1,5,236.3,3.8,10.1,0,66,34,0,376294.7189,500287.7907,NA,NA
20301901,Wensum,1980,52.81,0.91,596400,327300,9.74,13.15,30,0.7,4,20,237.4,4.7,76.4,0,10,57,33,379399.4889,506011.6279,NA,NA
20302101,Wensum,1980,52.74,0.97,600500,320200,9.76,13.46,22,0.7,4,30,242.6,5.7,64.4,0,0,67,33,372155.0256,509133.7209,NA,NA
20302201,Wensum,1980,52.72,1.04,605200,317800,9.78,13.46,20,0.7,5,38,238.3,7.7,68.1,0,12,74,14,370085.1789,512776.1628,NA,NA
20302301,Wensum,1980,52.68,1.2,616100,313700,9.81,13.39,7,0.5,5,56,232.9,10.3,57.1,0,47,50,3,365945.4855,521101.7442,NA,NA
20302701,Yare/Blackwater,1980,52.63,1.12,610800,308400,9.77,13.62,18,1,2,20,267.7,4.7,37.1,0,67,33,0,360770.8688,516938.9535,NA,NA
20302901,Yare/Blackwater,1980,52.63,1.24,619000,308200,9.8,13.42,9,0.8,4,30,256.9,8.7,43.6,6,62,32,0,360770.8688,523183.1395,NA,NA
20302903,Hodder,1980,53.97,-2.43,371500,452400,9.37,11.97,125,6,4,10,95,10.2,17.6,93,7,0,0,499450.5963,332215.1163,NA,NA
20302905,Hodder,1980,53.93,-2.52,365800,447900,9.38,11.92,107,3.3,6,18,61.7,10.7,17.2,49,46,5,0,495310.9029,327531.9767,NA,NA
20303001,Hodder,1980,53.87,-2.46,369700,441100,9.47,12.11,46,3.3,6,30,77.7,40.3,21.9,74,24,1,0,489101.3629,330654.0698,NA,NA
20303101,Ribble/Gayle Beck,1980,54.22,-2.33,378500,480300,9.14,12.1,300,15,3,4,90.4,2.3,17.8,86,13,0,0,525323.6797,337418.6047,NA,NA
20303401,Ribble/Gayle Beck,1980,54.15,-2.3,380600,472600,9.19,11.97,220,4.3,5,12,90.4,12.5,31.1,86,13,0,0,518079.2164,338979.6512,NA,NA
20303403,Ribble/Gayle Beck,1980,54.05,-2.3,380600,461400,9.32,12.05,130,1.3,6,26,112.1,10.8,22.1,76,23,1,0,507729.983,338979.6512,NA,NA
20303405,Ribble/Gayle Beck,1980,53.99,-2.23,385100,455100,9.36,12.1,122,2.5,6,34,99.6,36,19.2,60,39,1,0,501520.4429,342622.093,NA,NA
20303801,Ribble/Gayle Beck,1980,53.91,-2.34,377500,446600,9.41,12.08,70,1.9,7,46,113.3,37,25.7,81,18,2,0,493241.0562,336898.2558,NA,NA
20304101,Ribble/Gayle Beck,1980,53.84,-2.43,371500,438700,9.52,12.18,40,2.1,7,57.9,128.4,31.7,62.8,86,14,0,0,485996.5928,332215.1163,NA,NA
20304201,Ribble/Gayle Beck,1980,53.82,-2.51,366200,435600,9.54,12.15,20,1.1,8,66.1,105.8,41.7,27.2,80,16,2,0,483926.7462,328052.3256,NA,NA
