"sample_id","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","richness"
"site_00640_date_00602_monitoring_czech2","00640","0602",2976779.80161468,4744483.13099583,"RT9","RT9","RT09",25
"site_00641_date_00003_monitoring_portugual","00641","0003",1795523.60492565,2734963.85874367,"RT19","RT19","RT12",25
"site_00643_date_00003_monitoring_portugual","00643","0003",1794269.03645222,2766057.59479578,"RT17","RT17","RT11",23
"site_00644_date_00003_monitoring_portugual","00644","0003",1775778.23361092,2745472.9773278,"RT20","RT20","RT12",16
"site_00646_date_00003_monitoring_portugual","00646","0003",1774582.14051639,2753953.55242677,"RT20","RT20","RT12",23
"site_00646_date_00218_rcs","00646","0218",2430358.33597773,3861529.49781292,"RT20","RT20","RT10",49
"site_00647_date_00003_monitoring_portugual","00647","0003",1887792.81652606,2783108.02738636,"RT17","RT17","RT11",15
"site_00648_date_00220_rcs","00648","0220",2430358.33597773,3861529.49781292,"RT14","RT14_15_16","RT10",48
"site_00649_date_00221_rcs","00649","0221",2430358.33597773,3861529.49781292,"RT4","RT4_5","RT10",38
"site_00652_date_00077_rcs","00652","0077",2439285.17021847,3840414.031991,"RT5","RT4_5","RT08",50
"site_00653_date_00108_wiser","00653","0108",3046935.82693383,4419465.15184105,"RT2","RT2","RT09",19
"site_00654_date_00003_monitoring_portugual","00654","0003",1762338.50528599,2774069.19462793,"RT17","RT17","RT11",11
"site_00655_date_00061_rcs","00655","0061",2451403.51563588,3841128.56367934,"RT20","RT20","RT08",54
"site_00656_date_00046_rcs","00656","0046",2451403.51563588,3841128.56367934,"RT17","RT17","RT08",43
"site_00657_date_00022_naiades","00657","0022",2672697.06160244,3708087.1487154,"RT4","RT4_5","RT02",56
"site_00658_date_00218_rcs","00658","0218",2463945.19438669,3871102.6071425,"RT17","RT17","RT08",43
"site_00659_date_00003_monitoring_portugual","00659","0003",1893309.45996415,2782031.31815687,"RT18","RT8_10_11_18","RT11",15
"site_00659_date_00226_rcs","00659","0226",2463945.19438669,3871102.6071425,"RT18","RT8_10_11_18","RT08",54
"site_00659_date_00631_monitoring_uk","00659","0631",3352995.66282543,3613590.93406502,"RT18","RT8_10_11_18","RT02",27
"site_00661_date_00003_monitoring_portugual","00661","0003",1904154.28023386,2805289.22048421,"RT19","RT19","RT12",16
"site_00662_date_00003_monitoring_portugual","00662","0003",1899490.40808676,2811490.1458995,"RT17","RT17","RT11",16
"site_00662_date_00229_rcs","00662","0229",2473382.76065865,3875541.47748814,"RT17","RT17","RT08",25
"site_00662_date_00647_monitoring_uk","00662","0647",3344214.09335946,3615323.1449976,"RT17","RT17","RT02",47
"site_00663_date_00091_rcs","00663","0091",2473382.76065865,3875541.47748814,"RT20","RT20","RT08",26
"site_00664_date_00003_monitoring_portugual","00664","0003",1895468.85275332,2768752.3843684,"RT19","RT19","RT12",15
"site_00664_date_00230_rcs","00664","0230",2473382.76065865,3875541.47748814,"RT19","RT19","RT08",25
"site_00665_date_00231_rcs","00665","0231",2473382.76065865,3875541.47748814,"RT19","RT19","RT08",34
"site_00666_date_00003_monitoring_portugual","00666","0003",1884200.80762388,2779534.86660905,"RT19","RT19","RT12",11
